Overall entropy: 9.262970819416532
Size of tokens: 20510
Size of types: 3452

word	freq	prob	entropy
ϲИϸ	11	0.0005363237445148708	10.864608252729917
ϱСϨЄССІ	11	0.0005363237445148708	10.864608252729917
ϽСІ	11	0.0005363237445148708	10.864608252729917
ЋСϨ	11	0.0005363237445148708	10.864608252729917
ϸДАЗС	11	0.0005363237445148708	10.864608252729917
ЄϸСЧС	11	0.0005363237445148708	10.864608252729917
ЗАППСІМЋ	11	0.0005363237445148708	10.864608252729917
ЄЁЙС	11	0.0005363237445148708	10.864608252729917
ϻϽДІϾ	11	0.0005363237445148708	10.864608252729917
МϻЗϨ	11	0.0005363237445148708	10.864608252729917
ϾЧСϻϨ	11	0.0005363237445148708	10.864608252729917
ϱСϻЧ	11	0.0005363237445148708	10.864608252729917
ϽЁϾϸϨ	11	0.0005363237445148708	10.864608252729917
ϰАϻЧПЗ	11	0.0005363237445148708	10.864608252729917
ПДДЧ	11	0.0005363237445148708	10.864608252729917
ЧСϽϻЧЬСП	11	0.0005363237445148708	10.864608252729917
ϸДГС	11	0.0005363237445148708	10.864608252729917
ϽЁІП	11	0.0005363237445148708	10.864608252729917
ЄϻІϨСП	11	0.0005363237445148708	10.864608252729917
ДЙЙЁЈСЧ	11	0.0005363237445148708	10.864608252729917
И	11	0.0005363237445148708	10.864608252729917
ШІϾМЁЗϸϽϻІ	11	0.0005363237445148708	10.864608252729917
ПЁІІСЧ	11	0.0005363237445148708	10.864608252729917
ЉϹϼМДϼІϻϭЗ	10	0.00048756704046806434	11.002111776479852
ϻϱϱЖ	10	0.00048756704046806434	11.002111776479852
ГЧСϨϨЋ	10	0.00048756704046806434	11.002111776479852
ЗССІ	10	0.00048756704046806434	11.002111776479852
ϽДЗϨ	10	0.00048756704046806434	11.002111776479852
ПЧСЗЗ	10	0.00048756704046806434	11.002111776479852
ϾМϻІЈСП	10	0.00048756704046806434	11.002111776479852
ϸϻϼЁІϾ	10	0.00048756704046806434	11.002111776479852
АІПСЧ	10	0.00048756704046806434	11.002111776479852
ϸАЗϱϻІП	10	0.00048756704046806434	11.002111776479852
ϨϸСЗС	10	0.00048756704046806434	11.002111776479852
ϻППЧСЗЗЁІϾ	10	0.00048756704046806434	11.002111776479852
МСϨ	10	0.00048756704046806434	11.002111776479852
ШϽГСЧДЧ	10	0.00048756704046806434	11.002111776479852
ЄДІϭϨ	10	0.00048756704046806434	11.002111776479852
ϾЁЧМ	10	0.00048756704046806434	11.002111776479852
ЁММ	10	0.00048756704046806434	11.002111776479852
